,,,,,,Arabic,,,,Translations,,,,,,,,,,,,,,,,,,,,,,
Type,Book,Chapter,Page,Word,Frequency,noun/verb,plural/verb presetn,Gender,Audio File,english,english,urdu,urdu,,,,,,,,,,,,,,,,,,,
noun,1,1,1,1,317,هَذَا,,,1.m4a,this (male),,یہ,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,2,,ذلِكَ,,,2.m4a,that (male),,وہ,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,3,,هَـذِهِ,,,3.m4a,this (female),,یہ,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,4,,تِلْكَ,,,4.m4a,that (female),,وہ,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,5,,هؤُلَآءِ,,,5.m4a,these,,یہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,6,,ذَلِكم,,,6.m4a,those,,یہ / وہ,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,7,,اُولئِكَ,,,7.m4a,those,,وہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,8,,الَّذِي,,,8.m4a,he who,,وہ جو,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,9,,الَّتِي,اللّاتي,,9.m4a,she who,,وہ جو,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,10,,الَّذِينَ,,,10.m4a,those who,,وہ سب جو,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,11,,هذِهِ,,,11.m4a,these,,یہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,1,1,12,,الَّتِي,,,12.m4a,those who (for br.pl),,وہ سب جو,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,1,,لَا إِلهَ إلّا اللهُ,,,13.m4a,no god except Allah,,نہیں (کوئی) معبود سوائے اللہ (کے),,,,,,,,,,,,,,,,,,,,
noun,1,2,1,2,,كلّا,,,14.m4a,"never, certainly not",,ہرگز نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,3,,لَن,,,15.m4a,"will not, never",,ہرگز نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,4,,لَم,,,16.m4a,did not,,نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,5,,مَا,,,17.m4a,not,,نہیں، کیا، جو,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,6,,ليسَ (ليسَت),,,18.m4a,not,,نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,7,,بَلى,,,19.m4a,"yes, indeed, why not",,کیوں نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,8,,غَير,,,20.m4a,"not, other than",,سوائے، نہ,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,9,,دُون,,,21.m4a,"besides, other than",,سوائے،,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,10,,إلّا,,,22.m4a,"except, unless, if not",,سوائے مگر,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,11,,نَعَمْ,,,23.m4a,yes,,ہاں,,,,,,,,,,,,,,,,,,,,
noun,1,2,1,12,,أَلَا,,,24.m4a,"lo!, do not.., will not…",,خبردار!، سن لو!,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,1,,ـه,,,25.m4a,"his, him",,اس کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,2,,ـهُم,,,26.m4a,"their, them",,ان کا۔ کی۔ کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,3,,ـكَ,,,27.m4a,"your, you",,آپ کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,4,,ـكُم,,,28.m4a,"your, you",,آپ سب کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,5,,ـي,,,29.m4a,"my, me",,(مجھ کو)۔ میرا,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,6,,ـنَا,,,30.m4a,"our, us",,ہمارا,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,7,,ـهَا,,,31.m4a,"her, for her",,اس کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,8,,ـهُنَّ,,,32.m4a,"their, them",,ان کا۔ کی۔ کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,9,,ـكِ,,,33.m4a,"your, you",,آپ کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,10,,ـكُنَّ,,,34.m4a,"your, you",,آپ سب کا۔ کی کے,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,11,,ـهَا,,,35.m4a,"their, them",,ان سب کا۔ کی۔ کے,,,,,,,,,,,,,,,,,,,,
